DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
31/05/2020 08:00,4135016,ZnxXDlPa8U1GXgE,4334.75,425.6,386.875,6636452.875
31/05/2020 12:00,4135016,ZoEaEvLYb1n2sOq,4378.571429,429.9142857,379,7209979
31/05/2020 16:00,4135016,adLQvlD726eNBSB,4824.375,473.2875,406.875,6387758.875
31/05/2020 20:00,4135016,bvBOhCH3iADSZry,3950,388.1142857,355.2857143,6421378.286
31/05/2020 08:00,4135017,iCRJl6heRkivqQ3,4241.857143,416.5857143,384.7142857,7291637.714
31/05/2020 12:00,4135017,ih0vzX44oOqAx2f,4242.375,416.6625,376.875,6295497.875
31/05/2020 16:00,4135017,pkci93gMrogZuBj,4197.142857,412.2142857,384.8571429,7281919.857
31/05/2020 20:00,4135017,rGa61gmuvPhdLxV,4437.75,435.6,386.25,7223460.25
31/05/2020 08:00,4135018,sjndEbLyjtCKgGv,4170,409.5714286,377.4285714,7129406.429
31/05/2020 12:00,4135018,uHbuxQJl8lW7ozc,4174,409.9571429,386.4285714,7152318.429
31/05/2020 16:00,4135018,wCURE6d3bPkepu2,4270.125,419.375,380,6896260
31/05/2020 20:00,4135018,z9Y9gH1T5YWrNuG,4191.75,411.7,380.25,7120835.25
31/05/2020 08:00,4135019,zBIq5rxdHJRwDNY,4247.857143,417.2,389.4285714,6450294.429
31/05/2020 12:00,4135019,zVJPv84UY57bAof,4205.875,413.025,382.125,7229069.125
31/05/2020 16:00,4135019,1BY6WEcLGh8j5v7,3374.875,331.8125,452,6365826
31/05/2020 20:00,4135019,1IF53ai7Xc0U56Y,3693.714286,363.0428571,505.4285714,6298716.429
31/05/2020 08:00,4135020,3PZuoBAID5Wc2HD,3695,363.1714286,507.1428571,7102696.143
31/05/2020 12:00,4135020,7JYdWkrLSPkdwr4,3605,354.3714286,486.5714286,7715321.571
31/05/2020 16:00,4135020,McdE0feGgRqW7Ca,3607.125,354.5625,483.625,7273696.625
31/05/2020 20:00,4135020,VHMLBKoKgIrUVDU,3664.714286,360.2142857,493.4285714,7321552.429
31/05/2020 08:00,4135021,WRmjgnKYAwPKWDb,3671.714286,360.8714286,500.8571429,7141399.857
31/05/2020 12:00,4135021,YxYtjZvoooNbGkE,3543.75,348.3625,478.875,7292981.875
31/05/2020 16:00,4135021,ZnxXDlPa8U1GXgE,3598.857143,353.7285714,484.5714286,6636550.571
31/05/2020 20:00,4135021,ZoEaEvLYb1n2sOq,3512.25,345.2375,477.5,7210077.5
31/05/2020 08:00,4135022,adLQvlD726eNBSB,3762.285714,369.7285714,514.2857143,6387866.286
31/05/2020 12:00,4135022,bvBOhCH3iADSZry,3348.75,329.225,445.375,6421468.375
31/05/2020 16:00,4135022,iCRJl6heRkivqQ3,3561.75,350.125,482,7291735
31/05/2020 20:00,4135022,ih0vzX44oOqAx2f,3514.571429,345.5142857,472,7291735
31/05/2020 08:00,4135023,pkci93gMrogZuBj,3535.125,347.5,482.625,7282017.625
31/05/2020 12:00,4135023,rGa61gmuvPhdLxV,3568.714286,350.8142857,484.5714286,7223558.571
31/05/2020 16:00,4135023,sjndEbLyjtCKgGv,3536.625,347.6375,473.375,7129502.375
31/05/2020 20:00,4135023,uHbuxQJl8lW7ozc,3567.75,350.6875,484.25,7152416.25
