DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
31/05/2020 08:00,4135016,1IF53ai7Xc0U56Y,21.61032329,21.56044657,0.053956136
31/05/2020 12:00,4135016,3PZuoBAID5Wc2HD,21.6726298,22.11884373,0.080550228
31/05/2020 16:00,4135016,7JYdWkrLSPkdwr4,21.8345074,23.14069627,0.117545573
31/05/2020 20:00,4135016,McdE0feGgRqW7Ca,22.19873053,25.31902047,0.187030046
31/05/2020 08:00,4135017,VHMLBKoKgIrUVDU,22.69612427,28.3609558,0.244623029
31/05/2020 12:00,4135017,WRmjgnKYAwPKWDb,23.10963947,29.0602518,0.119259876
31/05/2020 16:00,4135017,YxYtjZvoooNbGkE,23.23228947,26.9630168,0.082955804
31/05/2020 20:00,4135017,ZnxXDlPa8U1GXgE,23.33721907,26.20634773,0.089748178
31/05/2020 08:00,4135018,ZoEaEvLYb1n2sOq,23.50864867,26.8290996,0.118092295
31/05/2020 12:00,4135018,adLQvlD726eNBSB,23.5459355,27.599182,0.124644065
31/05/2020 16:00,4135018,bvBOhCH3iADSZry,23.7412598,27.86075853,0.115434983
31/05/2020 20:00,4135018,iCRJl6heRkivqQ3,23.763322,27.50717767,0.110408298
31/05/2020 08:00,4135019,ih0vzX44oOqAx2f,23.76201373,27.19713127,0.09638069
31/05/2020 12:00,4135019,pkci93gMrogZuBj,23.76213573,26.63055,0.099295162
31/05/2020 16:00,4135019,rGa61gmuvPhdLxV,23.8746256,26.81340947,0.112813087
31/05/2020 20:00,4135019,sjndEbLyjtCKgGv,23.838385,27.24008373,0.142246735
31/05/2020 08:00,4135020,uHbuxQJl8lW7ozc,24.00694767,28.83434853,0.20888875
31/05/2020 12:00,4135020,wCURE6d3bPkepu2,24.32454136,32.96467593,0.374390925
31/05/2020 16:00,4135020,z9Y9gH1T5YWrNuG,24.86980793,37.5372804,0.434904685
31/05/2020 20:00,4135020,zBIq5rxdHJRwDNY,25.1295838,39.55242313,0.484750587
31/05/2020 08:00,4135021,zVJPv84UY57bAof,25.28966667,38.92812507,0.351465055
31/05/2020 12:00,4135021,1BY6WEcLGh8j5v7,25.21516727,37.6112162,0.414883193
31/05/2020 16:00,4135021,1IF53ai7Xc0U56Y,25.70663053,41.3690166,0.562312991
31/05/2020 20:00,4135021,3PZuoBAID5Wc2HD,26.31050207,46.14880593,0.603215169
31/05/2020 08:00,4135022,7JYdWkrLSPkdwr4,26.84059667,45.97044667,0.593243723
31/05/2020 12:00,4135022,McdE0feGgRqW7Ca,26.93235467,44.0610454,0.551129845
31/05/2020 16:00,4135022,VHMLBKoKgIrUVDU,27.01900433,45.00250027,0.567369825
31/05/2020 20:00,4135022,WRmjgnKYAwPKWDb,27.12312521,43.86432764,0.722826824
31/05/2020 08:00,4135023,YxYtjZvoooNbGkE,27.371873,49.5876018,0.806846928
31/05/2020 12:00,4135023,wCURE6d3aPkepu2,27.86127913,52.84501127,0.97148052
31/05/2020 16:00,4135023,z9Y9gH1T5YWrNuG,28.36710007,53.9367392,0.723553221
31/05/2020 20:00,4135023,zBIq5rxdHJRwvNY,27.71798707,42.51535053,0.344136892
